"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"17.02.2023","2,275","2,391","2,420","2,220","","-4,77%"
"16.02.2023","2,389","2,464","2,559","2,358","141,46K","-3,32%"
"15.02.2023","2,471","2,603","2,607","2,446","147,51K","-3,74%"
"14.02.2023","2,567","2,427","2,623","2,415","169,80K","6,74%"
"13.02.2023","2,405","2,580","2,610","2,376","251,40K","-4,34%"
"10.02.2023","2,514","2,464","2,589","2,410","230,69K","3,46%"
"09.02.2023","2,430","2,411","2,529","2,350","227,98K","1,42%"
"08.02.2023","2,396","2,599","2,657","2,367","204,61K","-7,28%"
"07.02.2023","2,584","2,499","2,615","2,423","228,48K","5,17%"
"06.02.2023","2,457","2,422","2,500","2,365","138,82K","1,95%"
"03.02.2023","2,410","2,457","2,515","2,341","145,39K","-1,87%"
"02.02.2023","2,456","2,504","2,597","2,431","160,78K","-0,49%"
"01.02.2023","2,468","2,730","2,780","2,463","210,66K","-8,05%"
"31.01.2023","2,684","2,685","2,753","2,614","145,54K","0,26%"
"30.01.2023","2,677","2,720","2,773","2,612","167,29K","-13,90%"
"27.01.2023","3,109","2,876","3,176","2,832","3,57K","5,60%"
"26.01.2023","2,944","3,003","3,003","2,761","47,67K","-4,01%"
"25.01.2023","3,067","3,242","3,251","2,992","40,75K","-5,86%"
"24.01.2023","3,258","3,450","3,595","3,224","62,59K","-5,48%"
"23.01.2023","3,447","3,450","3,564","3,243","130,38K","8,60%"
"20.01.2023","3,174","3,203","3,389","3,091","106,74K","-3,08%"
"19.01.2023","3,275","3,293","3,396","3,186","99,67K","-1,09%"
"18.01.2023","3,311","3,628","3,644","3,274","119,85K","-7,67%"
"17.01.2023","3,586","3,557","3,789","3,521","143,31K","-2,42%"
"16.01.2023","3,675","3,601","3,696","3,524","","2,05%"
"15.01.2023","3,601","3,591","3,615","3,554","","5,32%"
"13.01.2023","3,419","3,677","3,760","3,384","112,10K","-7,47%"
"12.01.2023","3,695","3,694","3,946","3,607","123,74K","0,65%"
"11.01.2023","3,671","3,575","3,777","3,422","133,20K","0,88%"
"10.01.2023","3,639","3,911","3,911","3,546","112,23K","-6,93%"
"09.01.2023","3,910","3,810","4,128","3,781","130,28K","5,39%"
"06.01.2023","3,710","3,764","3,839","3,520","105,05K","-0,27%"
"05.01.2023","3,720","4,155","4,175","3,651","116,68K","-10,83%"
"04.01.2023","4,172","4,008","4,219","3,900","99,76K","4,61%"
"03.01.2023","3,988","4,393","4,394","3,894","116,84K","-3,74%"
"02.01.2023","4,143","4,222","4,222","4,072","","-7,42%"
"30.12.2022","4,475","4,558","4,615","4,378","62,28K","-1,84%"
"29.12.2022","4,559","4,767","4,790","4,422","78,44K","-3,19%"
"28.12.2022","4,709","5,183","5,183","4,588","1,72K","-10,85%"
"27.12.2022","5,282","5,283","5,367","5,081","41,15K","2,68%"
"26.12.2022","5,144","5,179","5,188","5,037","","3,29%"
"23.12.2022","4,980","5,014","5,139","4,779","87,38K","1,06%"
"22.12.2022","4,928","5,356","5,526","4,905","82,27K","-5,92%"
"21.12.2022","5,238","5,232","5,481","5,175","55,52K","0,42%"
"20.12.2022","5,216","5,678","5,765","5,167","77,84K","-8,65%"
"19.12.2022","5,710","5,935","6,085","5,634","65,66K","-9,41%"
