Data;Godzina;RCE
20230110;1;634.42
20230110;2;601.39
20230110;3;603.84
20230110;4;612.54
20230110;5;620.74
20230110;6;699.16
20230110;7;780.09
20230110;8;905.17
20230110;9;921.94
20230110;10;927
20230110;11;918.26
20230110;12;917.97
20230110;13;914.54
20230110;14;918.59
20230110;15;923.07
20230110;16;920.83
20230110;17;941.98
20230110;18;942.55
20230110;19;937.54
20230110;20;932.47
20230110;21;917.35
20230110;22;748.23
20230110;23;749.85
20230110;24;643.59
20230111;1;610.07
20230111;2;607.56
20230111;3;568.2
20230111;4;547.86
20230111;5;536.69
20230111;6;561.26
20230111;7;638.46
20230111;8;649.92
20230111;9;688.96
20230111;10;685.06
20230111;11;687.46
20230111;12;670.07
20230111;13;686.32
20230111;14;694.76
20230111;15;699.94
20230111;16;720.11
20230111;17;749.33
20230111;18;731.31
20230111;19;723.14
20230111;20;734.79
20230111;21;720.8
20230111;22;640.31
20230111;23;666.27
20230111;24;622
20230112;1;487.96
20230112;2;475
20230112;3;459.33
20230112;4;460.81
20230112;5;458.06
20230112;6;492.85
20230112;7;597.65
20230112;8;614.33
20230112;9;635.71
20230112;10;639.47
20230112;11;587.54
20230112;12;601.96
20230112;13;587.28
20230112;14;621.75
20230112;15;623.46
20230112;16;644.13
20230112;17;625.91
20230112;18;645.66
20230112;19;612.96
20230112;20;660.96
20230112;21;623.42
20230112;22;569.65
20230112;23;530.3
20230112;24;468.57
20230113;1;445.27
20230113;2;435.64
20230113;3;379.28
20230113;4;399.43
20230113;5;382.6
20230113;6;448.18
20230113;7;509.2
20230113;8;599.6
20230113;9;631.82
20230113;10;649.07
20230113;11;644.14
20230113;12;643.76
20230113;13;663.05
20230113;14;683.68
20230113;15;677.2
20230113;16;714
20230113;17;703.21
20230113;18;699.18
20230113;19;671.26
20230113;20;671.15
20230113;21;624.79
20230113;22;503.05
20230113;23;488.02
20230113;24;448.78
20230114;1;413.32
20230114;2;389.52
20230114;3;349.64
20230114;4;364.86
20230114;5;342.91
20230114;6;388.65
20230114;7;431.03
20230114;8;458.82
20230114;9;463.29
20230114;10;461.31
20230114;11;463.62
20230114;12;480.78
20230114;13;476.69
20230114;14;490.66
20230114;15;504.45
20230114;16;527.57
20230114;17;544.57
20230114;18;543.53
20230114;19;499.54
20230114;20;478.34
20230114;21;457.45
20230114;22;453.93
20230114;23;383.26
20230114;24;318.3
20230115;1;119.23
20230115;2;117.53
20230115;3;83.68
20230115;4;83.71
20230115;5;94.85
20230115;6;118.68
20230115;7;131.06
20230115;8;196.74
20230115;9;279.21
20230115;10;377.15
20230115;11;387.85
20230115;12;415.48
20230115;13;408.32
20230115;14;432.48
20230115;15;435.69
20230115;16;453.94
20230115;17;441.06
20230115;18;445.36
20230115;19;405.98
20230115;20;417.92
20230115;21;397.28
20230115;22;404.4
20230115;23;384.14
20230115;24;303.03
20230116;1;323.14
20230116;2;327.88
20230116;3;305.46
20230116;4;347.57
20230116;5;349.91
20230116;6;439.81
20230116;7;598.48
20230116;8;765.35
20230116;9;769.88
