DATE;MARKET GAS PRICE
03/10/2021;17$14
03/11/2021;17$26
03/12/2021;17$26
03/15/2021;17$1
03/16/2021;17$15
03/17/2021;17$2
03/18/2021;17$12
03/19/2021;16$98
03/22/2021;17$32
03/23/2021;17$32
03/24/2021;17$48
03/25/2021;17$22
03/26/2021;17$33
03/29/2021;17$36
03/30/2021;17$36
03/31/2021;17$51
04/01/2021;17$57
04/02/2021;17$57
04/05/2021;17$57
04/06/2021;17$63
04/07/2021;17$46
04/08/2021;17$3
04/09/2021;17$24
04/12/2021;17$44
04/13/2021;17$3
04/14/2021;17$52
04/15/2021;17$8
04/16/2021;17$82
04/19/2021;17$81
04/20/2021;17$79
04/21/2021;17$86
04/22/2021;17$89
04/23/2021;17$7
04/26/2021;17$61
04/27/2021;17$7
04/28/2021;17$81
04/29/2021;17$81
04/30/2021;18$07
05/03/2021;18$21
05/04/2021;18$21
05/05/2021;18$43
05/06/2021;18$58
05/07/2021;18$63
05/10/2021;18$94
05/11/2021;18$94
05/12/2021;19$39
05/13/2021;19$06
05/14/2021;19$26
05/18/2021;18$95
05/19/2021;18$95
05/20/2021;18$87
05/21/2021;18$65
05/24/2021;18$54
05/25/2021;18$46
05/26/2021;18$4
05/27/2021;18$16
05/28/2021;18$16
05/31/2021;18$2
06/01/2021;18$38
06/02/2021;18$04
06/03/2021;17$86
06/04/2021;17$93
06/07/2021;18$19
06/08/2021;18$47
06/09/2021;18$6
06/10/2021;18$7
06/11/2021;18$58
06/14/2021;18$77
06/15/2021;18$3
06/16/2021;18$36
06/17/2021;18$45
06/18/2021;18$77
06/21/2021;18$75
06/22/2021;18$99
06/23/2021;19$12
06/24/2021;19$15
06/25/2021;19$26
06/28/2021;19$19
06/29/2021;19$23
06/30/2021;19$25
07/01/2021;19$2
07/02/2021;19$12
07/05/2021;19$21
07/06/2021;18$9
07/07/2021;18$93
07/08/2021;19$15
07/09/2021;19$27
07/12/2021;19$08
07/13/2021;19$03
07/14/2021;19$26
07/15/2021;19$12
07/16/2021;19$1
07/19/2021;18$89
07/20/2021;18$77
07/21/2021;18$99
07/22/2021;19$07
07/23/2021;19$13
07/26/2021;19$42
07/27/2021;19$45
07/28/2021;19$69
07/29/2021;19$69
07/30/2021;19$95
08/02/2021;19$91
08/03/2021;19$87
08/04/2021;19$8
08/05/2021;19$99
08/06/2021;20$18
08/09/2021;20$08
08/10/2021;20$49
08/11/2021;20$93
08/12/2021;21$17
08/13/2021;20$98
08/16/2021;21$35
08/17/2021;21$14
08/18/2021;21$2
08/19/2021;20$73
08/20/2021;21$26
08/23/2021;21$46
08/24/2021;21$89
08/25/2021;21$77
08/26/2021;21$84
08/27/2021;22$01
08/30/2021;22$34
08/31/2021;22$36
09/01/2021;22$38
09/02/2021;22$58
09/03/2021;22$57
09/06/2021;22$77
09/07/2021;22$53
09/08/2021;22$61
09/09/2021;22$82
09/10/2021;22$88
09/13/2021;23$11
09/14/2021;23$43
09/15/2021;23$82
09/16/2021;23$36
09/17/2021;23$65
09/20/2021;23$87
09/21/2021;23$94
09/22/2021;24$33
09/23/2021;25$32
09/24/2021;26$27
09/27/2021;27$11
09/28/2021;27$25
09/29/2021;27$92
09/30/2021;28$49
10/01/2021;28$29
10/04/2021;29$55
10/05/2021;30$13
10/06/2021;28$61
10/07/2021;28$41
10/08/2021;28$26
10/11/2021;28$33
10/12/2021;28$65
10/13/2021;28$55
10/14/2021;29$01
10/15/2021;29$7
10/18/2021;29$9
10/19/2021;30$22
10/20/2021;30$12
10/21/2021;29$81
10/22/2021;29$92
10/25/2021;30$24
10/26/2021;30$19
10/27/2021;29$65
10/28/2021;28$54
10/29/2021;28$24
11/01/2021;27$95
11/02/2021;28$31
11/03/2021;28$71
11/04/2021;28$31
11/05/2021;28$45
11/08/2021;29,00
11/09/2021;28$63
11/10/2021;28$65
11/11/2021;27$5
11/12/2021;28$56
11/15/2021;28$76
11/16/2021;29$54
11/17/2021;29$71
11/18/2021;30$23
11/19/2021;29$6
11/22/2021;29$28
11/23/2021;29$73
11/24/2021;30$74
11/25/2021;31$83
11/26/2021;30$12
11/29/2021;31$49
11/30/2021;31$45
12/01/2021;31$73
12/02/2021;31$73
12/03/2021;31$8
12/06/2021;32$3
12/07/2021;33$06
12/08/2021;34$27
12/09/2021;32$78
12/10/2021;33$48
12/13/2021;33$73
12/14/2021;32$99
12/15/2021;33$05
12/16/2021;34$76
12/17/2021;35$12
12/20/2021;37$6
12/21/2021;39$07
12/22/2021;38$4
12/23/2021;37$26
12/24/2021;36$39
12/27/2021;35$51
12/28/2021;36$81
12/29/2021;37,00
12/30/2021;35$86
12/31/2021;34$21
01/03/2022;36$16
01/04/2022;37$89
01/05/2022;39$13
01/06/2022;39$74
01/07/2022;38$04
01/10/2022;37$92
01/11/2022;37$66
01/12/2022;37$07
01/13/2022;37$47
01/14/2022;37$2
01/17/2022;37$05
01/18/2022;36$7
01/19/2022;36$92
01/20/2022;37$7
01/21/2022;37$84
01/24/2022;39$21
01/25/2022;40$24
01/26/2022;41$8
01/27/2022;43$3
01/28/2022;46$64
01/31/2022;46$66
02/01/2022;43$81
02/02/2022;44$34
02/03/2022;44$7
02/04/2022;46$96
02/07/2022;46$43
02/08/2022;45$35
02/09/2022;45$09
02/10/2022;45$51
02/11/2022;44$22
02/14/2022;49$14
02/15/2022;47$65
02/16/2022;45$97
02/17/2022;45$86
02/18/2022;45$96
02/21/2022;46$09
02/22/2022;50$84
02/23/2022;55$28
02/24/2022;62$47
02/25/2022;53$23
02/28/2022;51$49
03/01/2022;55$06
03/02/2022;59$21
03/03/2022;59$97
03/04/2022;61$37
03/07/2022;69$36
03/08/2022;67,00
03/09/2022;63$8
03/10/2022;59$27
03/11/2022;60$55
03/14/2022;57$77
03/15/2022;57$44
03/16/2022;53$34
03/17/2022;53$14
03/18/2022;54$81
03/21/2022;55$54
03/22/2022;56$16
03/23/2022;60$26
03/24/2022;61$87
03/25/2022;59$88
03/28/2022;57$93
03/29/2022;57$4
03/30/2022;57$79
03/31/2022;57$48
04/01/2022;56$94
04/04/2022;58$92
04/05/2022;63$49
04/06/2022;65$55
04/07/2022;65$9
04/08/2022;68,00
04/11/2022;70$63
04/12/2022;73$34
04/13/2022;77$21
04/14/2022;73$83
04/15/2022;73$83
04/18/2022;73$83
04/19/2022;73$57
04/20/2022;76$95
04/21/2022;80$78
04/22/2022;78$95
04/25/2022;77$73
04/26/2022;74$63
04/27/2022;74$59
04/28/2022;74$2
04/29/2022;74$32
05/02/2022;69$92
05/03/2022;73$05
05/04/2022;78$16
05/05/2022;80$79
05/06/2022;79$44
05/09/2022;74$38
05/10/2022;74$85
05/11/2022;75$25
05/12/2022;76$64
05/13/2022;72$44
05/16/2022;73$16
05/17/2022;73$43
